episode,steps,return,length,success,crash,wall_time
683,91937,69.401,250,0,0,1058.4
684,92187,79.972,250,0,0,1061.6
685,92437,58.272,250,0,0,1064.6
686,92493,-44.864,56,0,1,1065.2
687,92743,47.801,250,0,0,1067.9
688,92993,75.164,250,0,0,1071.0
689,93243,56.488,250,0,0,1076.1
690,93493,65.416,250,0,0,1081.2
691,93555,-33.746,62,0,1,1082.5
692,93805,67.63,250,0,0,1088.9
693,94055,77.029,250,0,0,1094.3
694,94102,-23.936,47,0,1,1095.2
695,94148,195.286,46,1,0,1096.2
696,94191,-61.045,43,0,1,1097.9
697,94441,85.089,250,0,0,1107.8
698,94691,66.891,250,0,0,1114.7
699,94941,65.816,250,0,0,1119.1
700,95191,73.162,250,0,0,1124.3
701,95441,80.04,250,0,0,1129.2
702,95691,62.481,250,0,0,1134.1
703,95941,57.303,250,0,0,1139.1
704,95959,-89.606,18,0,1,1139.4
705,96209,70.109,250,0,0,1144.5
706,96275,-29.459,66,0,1,1145.8
707,96525,60.81,250,0,0,1151.0
708,96775,76.832,250,0,0,1155.9
709,96987,-49.597,212,0,1,1164.6
